scenario,behavior_case,reference_scenario,reference_behavior_case,market_case,horizon_months,metric,median,p10,p90,probability_positive,probability_negative
employee_ownership_partial,moderate_positive,traditional_company,moderate_positive,default_market,60,sustainable_development_value_proxy,-3.1709798994472474e+06,-3.931549822304609e+06,1.6621963624111071e+07,0.273,0.727
employee_ownership_partial,moderate_positive,traditional_company,moderate_positive,default_market,120,average_employee_income_monthly,-277.1255221120373,-9646.836683299356,-0.726888521922211,0.099,0.901
employee_ownership_partial,moderate_positive,traditional_company,moderate_positive,default_market,120,capacity_cagr,0.0005747186183143738,0.00037142658266753337,0.00761499993785143,1,0
employee_ownership_partial,moderate_positive,traditional_company,moderate_positive,default_market,120,cash_end_total,-2349.605740151368,-115062.67439622563,2.381122984859307e+07,0.456,0.544
employee_ownership_partial,moderate_positive,traditional_company,moderate_positive,default_market,120,cash_end_unrestricted,4.0745362639427185e-10,-1.1641532182693481e-09,2.338109114859291e+07,0.623,0.351
employee_ownership_partial,moderate_positive,traditional_company,moderate_positive,default_market,120,cumulative_net_profit,1.2412581665870156e+06,-758784.4468072058,2.5458875901530255e+07,0.768,0.232
employee_ownership_partial,moderate_positive,traditional_company,moderate_positive,default_market,120,cumulative_operating_profit,2.9152208570595128e+06,921768.8627105404,2.67474538181444e+07,0.991,0.009
employee_ownership_partial,moderate_positive,traditional_company,moderate_positive,default_market,120,cumulative_revenue,-3.659527468188828e+07,-4.5097940745473796e+08,-2.525359077441499e+07,0,1
employee_ownership_partial,moderate_positive,traditional_company,moderate_positive,default_market,120,final_headcount,3.3647568977015485,0.8616087992224447,24.240548216448573,0.984,0.016
employee_ownership_partial,moderate_positive,traditional_company,moderate_positive,default_market,120,productive_capacity_added_total,-3287.9533865225385,-18640.240499090978,-836.6825008965416,0.04,0.96
employee_ownership_partial,moderate_positive,traditional_company,moderate_positive,default_market,120,productive_capacity_growth_rate,0.005151672075100144,0.003336805360164552,0.07030496473503176,1,0
employee_ownership_partial,moderate_positive,traditional_company,moderate_positive,default_market,120,risk_adjusted_employee_income,-321.4224850557948,-6825.7427976989275,-46.9554070693717,0.061,0.939
employee_ownership_partial,moderate_positive,traditional_company,moderate_positive,default_market,120,sustainable_development_value_proxy,1.2817269256311953e+06,-739174.79013924,3.611537382387193e+07,0.762,0.238
employee_ownership_partial,moderate_positive,traditional_company,moderate_positive,default_market,240,average_employee_income_monthly,-277.1255221120373,-9646.836683299356,-0.726888521922211,0.099,0.901
employee_ownership_partial,moderate_positive,traditional_company,moderate_positive,default_market,240,capacity_cagr,0.0002891288035825612,0.0001868498430880994,0.0038246326080379257,1,0
employee_ownership_partial,moderate_positive,traditional_company,moderate_positive,default_market,240,cash_end_total,-2349.605740151368,-115062.67439622563,2.381122984859307e+07,0.456,0.544
